2015-03-1,12.6,31.2,0,,,,,,21.9,61,1,SSW,6,1006.7,26.9,42,,WNW,26,1006.9
2015-03-2,,26.4,,,,,,,,,,,,,24.9,34,,NW,9,1015.0
2015-03-3,13.3,28.3,,,,NE,28,18:23,17.9,70,,S,6,1015.5,27.1,46,,W,11,1012.8
2015-03-4,14.2,30.1,0,,,WNW,35,15:50,18.0,75,4,ENE,9,1014.0,27.5,26,,NW,19,1009.8
2015-03-5,12.5,24.0,0,,,W,52,04:10,18.7,43,,WNW,17,1007.5,22.4,31,1,S,28,1007.7
2015-03-6,6.3,24.3,0,,,WNW,50,13:34,15.7,33,,NW,22,1007.6,22.7,34,,WNW,33,1005.1
2015-03-7,5.1,26.9,0,,,NW,44,14:01,12.6,71,,NW,4,1012.3,25.5,36,,N,22,1008.1
2015-03-8,11.3,30.1,0,,,W,37,14:58,17.5,70,,SW,2,1012.3,28.2,27,,W,17,1008.4
2015-03-9,8.7,29.7,0,,,W,43,11:18,15.1,81,, ,Calm,1012.6,28.9,21,,WNW,30,1010.6
2015-03-10,8.6,28.6,0,,,E,48,18:04,16.0,77,,S,9,1018.2,26.3,36,1,NE,11,1015.1
2015-03-11,13.5,31.4,0,,,NW,35,12:14,19.0,75,,ENE,6,1016.8,28.0,36,7,WNW,19,1012.9
2015-03-12,11.3,30.1,0,,,ENE,44,17:09,16.7,83,,ESE,7,1015.7,29.4,20,,NNW,26,1012.2
2015-03-13,13.9,21.0,0,,,ENE,33,16:39,14.3,73,8,SE,13,1020.5,18.8,51,7,SE,13,1019.
2015-03-14,6.0,27.1,0,,,NNW,41,12:49,12.9,71,,NNE,4,1019.1,24.0,33,,NW,13,1012.5
2015-03-15,12.2,24.5,0,,,S,41,09:29,17.1,56,,SE,19,1011.4,23.8,33,1,E,26,1011.9
2015-03-16,4.3,24.2,0,,,E,39,19:07,12.3,71,,ESE,11,1017.9,22.6,33,,NNE,13,1013.8
2015-03-17,6.5,26.2,0,,,NNW,35,14:38,11.8,85,2,S,2,1013.9,25.9,32,,NW,15,1009.2
2015-03-18,11.8,30.3,3.8,,,WNW,52,15:37,14.6,96,8,NE,11,1006.6,27.1,35,,WNW,24,100
2015-03-19,8.4,31.8,0.4,,,NW,35,13:31,14.9,78,,S,2,1011.5,30.6,26,,NW,20,1009.4
2015-03-20,11.2,32.0,0,,,ESE,48,16:10,20.4,55,,SSE,2,1011.4,30.4,26,,NW,26,1011.7
2015-03-21,7.8,21.9,0,,,E,44,15:03,13.2,58,,SSE,17,1025.2,19.7,42,2,ENE,22,1024.3
2015-03-22,12.4,23.4,0,,,ENE,33,17:32,15.8,77,7,ESE,15,1024.6,21.8,58,8,NE,13,1020
2015-03-23,9.0,29.6,0,,,NNW,54,15:36,14.0,98,, ,Calm,1017.3,28.0,35,1,NNW,31,1011.
2015-03-24,14.0,23.9,7.8,,,NNW,56,00:20,17.2,97,8,NNW,13,1011.8,21.9,57,8,WNW,17,1
2015-03-25,5.9,22.3,0.4,,,ENE,35,18:29,13.1,73,, ,Calm,1017.1,20.9,37,2,NNE,13,101
2015-03-26,8.4,20.9,0,,,NW,59,14:17,12.5,58,,NNW,17,1016.5,19.5,33,,WNW,39,1015.5
2015-03-27,7.4,20.3,0,,,W,50,11:57,10.8,59,,NNW,20,1019.9,19.8,33,,WNW,28,1017.4
2015-03-28,0.6,22.8,0,,,W,28,14:28,8.0,80,,SW,4,1023.1,21.6,26,,W,13,1020.1
2015-03-29,3.0,23.6,0,,,N,28,16:09,8.9,99,8,NNW,7,1023.0,22.1,29,,NW,13,1020.3
2015-03-30,5.2,21.3,0,,,N,17,12:10,9.8,77,,S,7,1025.3,20.3,36,,NNW,9,1022.6
2015-03-31,7.1,26.2,0,,,ENE,31,16:49,13.2,64,,SSE,9,1026.8,23.3,33,,ENE,13,1024.1
